s,a,s_prime,r,p
"(np.int64(4), np.int64(0))",DOWN,"(3, 0)",0,0.1
"(np.int64(4), np.int64(0))",DOWN,"(4, 0)",0,0.1
"(np.int64(4), np.int64(0))",UP,"(4, 1)",0,0.8
"(np.int64(4), np.int64(0))",UP,"(3, 0)",0,0.1
"(np.int64(4), np.int64(0))",UP,"(4, 0)",0,0.1
"(np.int64(6), np.int64(0))",LEFT,"(6, 0)",0,0.8
"(np.int64(6), np.int64(0))",LEFT,"(6, 1)",0,0.1
"(np.int64(6), np.int64(0))",LEFT,"(6, 0)",0,0.1
"(np.int64(6), np.int64(0))",RIGHT,"(7, 0)",0,0.8
"(np.int64(6), np.int64(0))",RIGHT,"(6, 1)",0,0.1
"(np.int64(6), np.int64(0))",RIGHT,"(6, 0)",0,0.1
"(np.int64(6), np.int64(0))",DOWN,"(6, 0)",0,0.8
"(np.int64(6), np.int64(0))",DOWN,"(6, 0)",0,0.1
"(np.int64(6), np.int64(0))",DOWN,"(7, 0)",0,0.1
"(np.int64(6), np.int64(0))",UP,"(6, 1)",0,0.8
"(np.int64(6), np.int64(0))",UP,"(6, 0)",0,0.1
"(np.int64(6), np.int64(0))",UP,"(7, 0)",0,0.1
"(np.int64(7), np.int64(0))",LEFT,"(6, 0)",0,0.8
"(np.int64(7), np.int64(0))",LEFT,"(7, 1)",0,0.1
"(np.int64(7), np.int64(0))",LEFT,"(7, 0)",0,0.1
"(np.int64(7), np.int64(0))",RIGHT,"(8, 0)",0,0.8
"(np.int64(7), np.int64(0))",RIGHT,"(7, 1)",0,0.1
"(np.int64(7), np.int64(0))",RIGHT,"(7, 0)",0,0.1
"(np.int64(7), np.int64(0))",DOWN,"(7, 0)",0,0.8
"(np.int64(7), np.int64(0))",DOWN,"(6, 0)",0,0.1
"(np.int64(7), np.int64(0))",DOWN,"(8, 0)",0,0.1
"(np.int64(7), np.int64(0))",UP,"(7, 1)",0,0.8
"(np.int64(7), np.int64(0))",UP,"(6, 0)",0,0.1
"(np.int64(7), np.int64(0))",UP,"(8, 0)",0,0.1
"(np.int64(8), np.int64(0))",LEFT,"(7, 0)",0,0.8
"(np.int64(8), np.int64(0))",LEFT,"(8, 1)",0,0.1
"(np.int64(8), np.int64(0))",LEFT,"(8, 0)",0,0.1
"(np.int64(8), np.int64(0))",RIGHT,"(9, 0)",0,0.8
"(np.int64(8), np.int64(0))",RIGHT,"(8, 1)",0,0.1
"(np.int64(8), np.int64(0))",RIGHT,"(8, 0)",0,0.1
"(np.int64(8), np.int64(0))",DOWN,"(8, 0)",0,0.8
"(np.int64(8), np.int64(0))",DOWN,"(7, 0)",0,0.1
"(np.int64(8), np.int64(0))",DOWN,"(9, 0)",0,0.1
"(np.int64(8), np.int64(0))",UP,"(8, 1)",0,0.8
"(np.int64(8), np.int64(0))",UP,"(7, 0)",0,0.1
"(np.int64(8), np.int64(0))",UP,"(9, 0)",0,0.1
"(np.int64(9), np.int64(0))",LEFT,"(8, 0)",0,0.8
"(np.int64(9), np.int64(0))",LEFT,"(9, 1)",0,0.1
"(np.int64(9), np.int64(0))",LEFT,"(9, 0)",0,0.1
"(np.int64(9), np.int64(0))",RIGHT,"(10, 0)",0,0.8
"(np.int64(9), np.int64(0))",RIGHT,"(9, 1)",0,0.1
"(np.int64(9), np.int64(0))",RIGHT,"(9, 0)",0,0.1
"(np.int64(9), np.int64(0))",DOWN,"(9, 0)",0,0.8
"(np.int64(9), np.int64(0))",DOWN,"(8, 0)",0,0.1
"(np.int64(9), np.int64(0))",DOWN,"(10, 0)",0,0.1
"(np.int64(9), np.int64(0))",UP,"(9, 1)",0,0.8
"(np.int64(9), np.int64(0))",UP,"(8, 0)",0,0.1
"(np.int64(9), np.int64(0))",UP,"(10, 0)",0,0.1
"(np.int64(10), np.int64(0))",LEFT,"(9, 0)",0,0.8
"(np.int64(10), np.int64(0))",LEFT,"(10, 1)",0,0.1
"(np.int64(10), np.int64(0))",LEFT,"(10, 0)",0,0.1
"(np.int64(10), np.int64(0))",RIGHT,"(10, 0)",0,0.8
"(np.int64(10), np.int64(0))",RIGHT,"(10, 1)",0,0.1
"(np.int64(10), np.int64(0))",RIGHT,"(10, 0)",0,0.1
"(np.int64(10), np.int64(0))",DOWN,"(10, 0)",0,0.8
"(np.int64(10), np.int64(0))",DOWN,"(9, 0)",0,0.1
"(np.int64(10), np.int64(0))",DOWN,"(10, 0)",0,0.1
"(np.int64(10), np.int64(0))",UP,"(10, 1)",0,0.8
"(np.int64(10), np.int64(0))",UP,"(9, 0)",0,0.1
"(np.int64(10), np.int64(0))",UP,"(10, 0)",0,0.1
